State,Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
 HI,15.0,93.72,63.96,79.63,96.32,86.72,113.58
 AK,16.0,93.19,39.45,67.75,96.74,78.76,138.38
 DC,18.0,88.5,70.28,79.87,86.63,86.23,131.53
 NJ,29.0,84.08,61.58,73.43,86.08,81.44,120.46
 MA,37.0,80.46,76.09,78.39,75.71,83.08,124.57
 CT,41.0,79.85,41.58,61.73,83.41,72.82,84.71
 NY,90.66666666666667,79.67999999999999,50.95666666666667,66.08166666666666,76.11,81.04,98.84333333333332
 CA,77.92307692307692,78.03307692307693,62.90615384615384,70.87307692307692,73.5276923076923,81.19923076923077,133.49923076923076
 PA,55.0,77.64500000000001,43.79,61.625,73.235,70.745,111.81
 SC,114.5,76.55000000000001,36.925,57.795,78.22999999999999,70.28,115.45
 VT,66.0,76.11,41.81,59.87,73.17,78.69,76.97
 ME,79.0,74.81,42.4,59.47,72.45,85.71,122.77
 CO,90.0,74.59,53.815,64.755,72.355,72.625,121.55000000000001
 MD,97.0,73.85,42.89,59.2,68.71,77.01,127.77
 WA,120.625,73.72749999999999,43.35375,59.348749999999995,68.08375,73.61375,137.8875
 LA,100.0,73.61,41.21,58.27,67.0,86.02,106.74
 IL,105.5,73.58500000000001,40.54,57.94500000000001,69.565,71.22,125.91999999999999
 MN,116.5,72.435,45.71,59.785,69.255,75.11500000000001,122.66499999999999
 GA,122.0,72.05,46.89,60.14,66.94,73.06,150.38
 OR,139.0,70.89,36.68,54.699999999999996,69.72666666666667,67.52,116.92333333333333
 FL,147.22222222222223,70.32,37.647777777777776,54.85333333333333,67.48111111111112,71.55111111111111,120.02444444444444
 NC,159.25,69.6225,35.589999999999996,53.5125,68.8975,68.89,134.1375
 IN,175.5,68.33500000000001,28.275,49.37,68.63499999999999,67.845,117.15
 VA,208.5,66.21000000000001,35.540000000000006,51.69,62.8,67.1,146.95
 WI,211.0,66.055,36.545,52.08,60.2,68.57,126.24000000000001
 AL,205.5,65.83500000000001,31.34,49.510000000000005,64.11500000000001,64.77000000000001,134.95499999999998
 MO,222.33333333333334,65.10666666666667,26.203333333333333,46.69333333333333,61.416666666666664,66.88000000000001,130.17666666666665
 OH,222.2,65.078,27.883999999999997,47.47,57.378,63.958000000000006,117.596
 TN,225.75,64.88,33.519999999999996,50.0375,60.025,66.7625,125.4975
 MI,231.66666666666666,64.43333333333334,37.61666666666667,51.73666666666667,57.39000000000001,60.53,118.68666666666667
 NM,240.0,64.32,27.29,46.79,64.42,63.21,128.27
 TX,235.5,63.88999999999999,35.1025,50.26375,58.2725,65.96375,145.05875
 AZ,243.5,63.83,28.64,47.17,54.53,68.225,134.41500000000002
 NV,240.5,63.410000000000004,33.79,49.39,55.760000000000005,67.235,140.60500000000002
 KS,250.0,63.18,23.45,44.38,57.3,64.33,135.99
 UT,253.0,62.94,35.8,50.1,55.93,66.1,150.76
 AR,254.5,62.575,26.15,45.334999999999994,58.295,65.37,126.82499999999999
 IA,264.0,62.21,33.57,48.66,57.09,63.36,128.68
 OK,264.0,62.195,26.295,45.2,59.835,59.6,132.875
 KY,284.0,59.94,25.86,43.805,54.185,63.265,132.92000000000002
 ID,288.0,59.43,30.85,45.9,50.93,63.79,120.44
