name,menus.name,state,ingredients,latitude,longitude,address,city,menus.amountMax
The Brentwood,"Pizza, Puttenesca",California,"['olive', 'onion', 'caper', 'tomatoe']",34.06456347,-118.4690173,148 S Barrington Ave,Los Angeles,13.0
Bravo Pizza Hollywood,Cheese Pizza,California,"['choose', 'pizza', 'size']",34.1017424,-118.3019729,5142 Hollywood Blvd,Los Angeles,10.99
Bravo Pizza Hollywood,Hawaiian Pizza,California,"['bacon', 'pineapple']",34.1017424,-118.3019729,5142 Hollywood Blvd,Los Angeles,11.99
Lucky's Pub,Create Your Own Pizza,Texas,['choose'],29.75247947,-95.35416442,801 Saint Emanuel St,Houston,9.95
Brigham Young University,Mexican Pizza Dip,Utah,"['seven', 'layer', 'bean', 'dip']",40.25083927,-111.6492677,1 N University Hl,Provo,19.95
Giovanni's Pizza and Pasta,Bbq Chicken Pizza,California,"['bbq', 'sauce', 'mozzarella', 'cheese', 'dice', 'chicken', 'breast', 'onion']",33.68678191,-117.1903038,26900 Newport Rd,Menifee,8.99
Philly's Subs,Pizza,Wisconsin,"['pepperoni', 'marinara', 'garlic', 'seasoning', 'parmesan', 'cheese']",44.95747331,-89.66768203,2111 Stewart Ave,Wausau,4.99
Little Caesars Pizza,3 Meat Treat Pizza,Texas,"['original', 'round', 'pizza', 'pepperoni', 'sausage', 'bacon']",29.716011,-95.200573,2619 Red Bluff Kroger Jct,Pasadena,8.0
Little Caesars Pizza,Ultimate Supreme Pizza,Texas,"['original', 'round', 'pizza', 'pepperoni', 'sausage', 'mushroom', 'onion', 'pepper']",29.716011,-95.200573,2619 Red Bluff Kroger Jct,Pasadena,9.0
Joey's N Y Pizza,Garden Pizza,Nevada,"['broccoli', 'spinach', 'pepper', 'mushroom']",35.98879,-115.101074,11165 S Eastern Ave,Henderson,19.99
Joey's N Y Pizza,Supreme Pizza,Nevada,"['sausage', 'pepperoni', 'meatball', 'pepper', 'onion', 'olive', 'mushroom']",35.98879,-115.101074,11165 S Eastern Ave,Henderson,21.99
Joey's N Y Pizza,White Pizza,Nevada,"['mozzarella', 'parmesan', 'garlic']",35.98879,-115.101074,11165 S Eastern Ave,Henderson,16.99
Keyme,Pizza Toppings,Washington,"['pepperoni', 'sausage', 'ground', 'western', 'beef', 'cob', 'bacon', 'marinated', 'chicken', 'breast', 'new', 'england', 'ham', 'anchovy', 'filet', 'plum', 'tomato', 'freshly', 'cut', 'broccoli', 'mushroom', 'spinach', 'freshly', 'eggplant', 'freshly', 'onion', 'freshly', 'pepper', 'marinated', 'sun', 'dry', 'tomato', 'jalapeno', 'pepper', 'pepper', 'freshly', 'garlic', 'california', 'olive', 'sweet', 'hawaiian', 'pineapple', 'marinated', 'artichoke', 'heart', 'scramble', 'egg', 'new', 'gorgonzola', 'cheese', 'greek', 'feta', 'cheese', 'vegan', 'soy', 'cheese', 'grated', 'parmesan', 'cheese', 'flavorful', 'cheese']",47.413195,-122.218841,21100 91st Pl S,Kent,1.75
Brio Tuscan Grille - Southlake - Southlake Town Square,Sausage Onion Jam Pizza,Texas,"['boursin', 'mozzarella', 'arugula', 'parmesan']",32.945053,-97.12952,1431 Plaza Pl,Southlake,8.95
Frank's Pizzeria,White Pizza,Nebraska,"['mozzarella', 'ricotta', 'garlic', 'sauce']",41.266346,-96.119545,711 N 132nd St,Omaha,16.24
Casino's Pizza,Cheese Pizzarito,Illinois,"['back', 'light', 'crust', 'stuff', 'fold', 'ingredient', 'baste', 'garlic', 'butter', 'sprinkle', 'romano', 'cheese', 'parsley']",41.9317,-88.0421,190 N Swift Rd,Addison,6.7
Casino's Pizza,Pizza Slices,Illinois,['day'],41.9317,-88.0421,190 N Swift Rd,Addison,2.76
Salerno's Pizza Restaurant,Chicken Wing Pizza,Pennsylvania,['mild'],41.285007,-75.898346,19 Kelly St,Luzerne,13.95
Nino's Trattoria & Pizzeria,Cheese Pizza,New Jersey,"['cheese', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,11.95
Nino's Trattoria & Pizzeria,Cheesesteak Stuffed Cheese Pizza,New Jersey,"['beef', 'chicken', 'double', 'crust', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,22.95
Nino's Trattoria & Pizzeria,Chicken Wing Pizza,New Jersey,"['sauce', 'celery', 'chicken', 'bleu', 'cheese']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,19.95
Nino's Trattoria & Pizzeria,Margherita Pizza,New Jersey,"['brooklyn', 'square', 'thick', 'pan', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,15.95
Nino's Trattoria & Pizzeria,Old Fashion Pizza,New Jersey,"['cheese', 'square', 'thick', 'pan', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,15.95
Nino's Trattoria & Pizzeria,Old Fashion Tomato Pizza,New Jersey,['cheese'],40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,12.95
Nino's Trattoria & Pizzeria,Rancher Pizza,New Jersey,"['bacon', 'chicken', 'pepper', 'tomato', 'cheddar', 'cheese']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,19.95
Nino's Trattoria & Pizzeria,Sicilian Pizza,New Jersey,"['cheese', 'square', 'thick', 'pan', 'sicilian', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,15.95
Nino's Trattoria & Pizzeria,Taco Pizza,New Jersey,"['lettuce', 'tomato', 'ground', 'beef', 'cheddar', 'cheese']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,19.95
Nino's Trattoria & Pizzeria,Trenton Tomato Pizza,New Jersey,"['cheese', 'plum', 'tomato']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,14.95
Nino's Trattoria & Pizzeria,White Pizza,New Jersey,"['cheese', 'pizza']",40.24614006,-74.74381959,111 Lawrence Rd,Lawrence Township,11.95
Uno Pizzeria & Grill - Sturbridge,Pizza Skins,Massachusetts,"['deep', 'dish', 'crust', 'fill', 'bliss', 'mashed', 'potato', 'bacon', 'cheddar', 'sour', 'cream']",42.12484282,-72.05860695,100 Charlton Rd,Sturbridge,2.99
Zios Italian Kitchen - Olathe,Artichoke Chicken Pizza,Kansas,"['creamy', 'artichoke', 'spinach', 'sauce', 'feature', 'bacon', 'chicken', 'breast', 'tomato', 'artichoke', 'mozzarella', 'cheddar', 'cheese']",38.90896786,-94.76871014,11981 S Strang Line Rd,Olathe,8.79
Zios Italian Kitchen - Olathe,Barbecue Chicken Pizza,Kansas,"['sweet', 'bbq', 'sauce', 'bbq', 'chicken', 'breast', 'bacon', 'onion', 'mozzarella', 'gouda', 'cheese', 'garnish', 'cilantro', 'crispy', 'onion']",38.90896786,-94.76871014,11981 S Strang Line Rd,Olathe,8.79
Zios Italian Kitchen - Olathe,California Pizza,Kansas,"['alfredo', 'sauce', 'chicken', 'breast', 'bacon', 'mushroom', 'spinach', 'tomato', 'mozzarella', 'gouda', 'cheese']",38.90896786,-94.76871014,11981 S Strang Line Rd,Olathe,8.99
Zios Italian Kitchen - Olathe,Chicken Club Pizza,Kansas,"['homestyle', 'tomato', 'sauce', 'chicken', 'breast', 'bacon', 'tomato', 'provolone', 'mozzarella', 'cheddar', 'cheese']",38.90896786,-94.76871014,11981 S Strang Line Rd,Olathe,8.79
Zios Italian Kitchen - Olathe,Pizza Mia,Kansas,"['pizza', 'sauce', '3']",38.90896786,-94.76871014,11981 S Strang Line Rd,Olathe,8.59
Tascali's Decades Pasta & Grill,Personal Pizza,West Virginia,"['sauce', 'mozzarella']",38.413007,-82.307758,6007 Us 60 E,Barboursville,6.99
La Hacienda,Mexican Pizza,Georgia,"['flour', 'tortilla', 'cheese', 'sauce', 'ground', 'beef']",32.071243,-84.208984,1602 E Forsyth St,Americus,3.75
Original Giorgio's,Bbq Chicken Pizza,Maryland,"['bbq', 'sauce', 'chicken', 'breast', 'cheddar', 'mozzarella']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,16.95
Original Giorgio's,Buffalo Chicken Pizza,Maryland,"['buffalo', 'sauce', 'chicken', 'mozzarella', 'cheddar', 'cheese']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,16.95
Original Giorgio's,Cheese Steak Pizza,Maryland,"['philly', 'steak', 'pepper', 'mushroom', 'onion', 'provolone', 'mozzarella']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,16.95
Original Giorgio's,Greek Pizza,Maryland,"['gyro', 'meat', 'ground', 'beef', 'salami', 'olive', 'pepper', 'onion', 'tomato', 'feta', 'mozzarella', 'cheese']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,16.95
Original Giorgio's,Margherita Pizza,Maryland,"['basil', 'rich', 'tomato', 'sauce', 'mozzarella', 'cheese']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,16.95
Original Giorgio's,Mediterranean Pizza,Maryland,"['chicken', 'breast', 'artichoke', 'olive', 'basil', 'feta', 'mozzarella', 'cheese']",39.47173,-76.63863,14 Scott Adam Rd,Cockeysville,17.95
